Регион;Timezone;Координаты;Страна
Краснодарский край;Europe/Moscow;45.6415289, 39.7055977;Россия
Ростовская обл.;Europe/Moscow;47.6853247, 41.8258952;Россия
Тверская обл.;Europe/Moscow;57.0021654, 33.9853142;Россия
Челябинская обл.;Asia/Yekaterinburg;54.43194219999999, 60.87889629999999;Россия
Свердловская обл.;Asia/Yekaterinburg;59.007735, 61.9316226;Россия
Кемеровская обл.;Asia/Krasnoyarsk;54.7574648, 87.4055288;Россия
г. Москва * Московская область;Europe/Moscow;55.755826, 37.6173;Россия
Республика Тыва;Asia/Krasnoyarsk;51.8872669, 95.62601719999999;Россия
Алтайский край;Asia/Krasnoyarsk;51.7936298, 82.6758596;Россия
Саратовская обл.;Europe/Saratov;51.83692629999999, 46.7539397;Россия
Белгородская обл.;Europe/Moscow;50.71069259999999, 37.7533377;Россия
Волгоградская обл.;Europe/Volgograd;49.7604522, 45;Россия
Камчатский край;Asia/Kamchatka;61.43439809999999, 166.7884131;Россия
Самарская обл.;Europe/Samara;53.41838389999999, 50.4725528;Россия
Республика Адыгея;Europe/Moscow;44.8229155, 40.1754463;Россия
Кабардино-Балкарская Республика;Europe/Moscow;43.3932469, 43.5628498;Россия
Карачаево-Черкесская Республика;Europe/Moscow;43.8845143, 41.730394;Россия
Республика Северная Осетия - Алания;Europe/Moscow;43.0451302, 44.2870972;Россия
Чеченская Республика;Europe/Moscow;43.4023301, 45.7187468;Россия
Республика Ингушетия;Europe/Moscow;43.4051698, 44.82029989999999;Россия
Смоленская обл.;Europe/Moscow;54.9882994, 32.6677378;Россия
Воронежская обл.;Europe/Moscow;50.8589713, 39.8644375;Россия
Пензенская обл.;Europe/Moscow;53.1412105, 44.0940048;Россия
Республика Татарстан;Europe/Moscow;55.1802364, 50.7263945;Россия
Чувашская Республика;Europe/Moscow;55.55959920000001, 46.9283536;Россия
Чукотский АО;Asia/Anadyr;65.6298355, 171.6952159;Россия
Хабаровский край;Asia/Vladivostok;50.5888431, 135;Россия
Калининградская обл.;Europe/Kaliningrad;54.8235292, 21.4816163;Россия
Брянская обл.;Europe/Moscow;53.0408599, 33.2690899;Россия
Курганская обл.;Asia/Yekaterinburg;55.4481548, 65.11809749999999;Россия
Ханты-Мансийский АО - Югра;Asia/Yekaterinburg;62.2287062, 70.6410058;Россия
Ямало-Ненецкий АО;Asia/Yekaterinburg;66.0653057, 76.9345194;Россия
Магаданская обл.;Asia/Magadan;62.66434169999999, 153.9149909;Россия
Еврейская автономная обл.;Asia/Vladivostok;48.4808147, 131.7657367;Россия
Сахалинская обл.;Asia/Magadan;49.9807847, 143.3738129;Россия
